Model,Evaluation Type,Threshold,P_Debt,R_Debt,F1_Debt,F1_Macro,F1_Weighted,F1_Micro,MCC,Balanced_Acc,ROC_AUC,PR_AUC_Debt,TN,FP,FN,TP
Random Forest,Main Split,0.26,0.33661971830985915,0.5901234567901235,0.42869955156950673,0.6866853963875502,0.9115751793901652,0.8991130820399114,0.39584877461050827,0.7552072690956879,0.855461954875279,0.3720994467439046,5438,471,166,239
LightGBM,Main Split,0.07630163903318685,0.32270916334661354,0.4,0.3572216097023153,0.6537409132036873,0.9122208382071006,0.9076655052264808,0.3101562420394474,0.6712303266204096,0.7658503768054171,0.2589920257219478,5569,340,243,162
XGBoost,Main Split,0.07425589114427567,0.3544857768052516,0.4,0.37587006960556846,0.6650725496761482,0.9171742998041922,0.9147925245486221,0.3310177824388678,0.6750380775088848,0.7801330466812499,0.29417582403703496,5614,295,243,162
Random Forest,LOPO keras,0.26,0.3395493395493395,0.5034562211981567,0.40556844547563803,0.6636266755103323,0.8732850473622016,0.8616032843560933,0.3388087511895666,0.7010604901889687,0.781090882520344,0.3506993519324206,7538,850,431,437
LightGBM,LOPO keras,0.07630163903318685,0.33277591973244147,0.45852534562211983,0.3856589147286822,0.6542837375199831,0.8725268951896659,0.8630077787381158,0.31581173389625095,0.6816947185907452,0.7752475557577316,0.3343483622914669,7590,798,470,398
XGBoost,LOPO keras,0.07425589114427567,0.34410844629822734,0.38018433179723504,0.361247947454844,0.645652442411869,0.87671573131386,0.8739196197061365,0.2919432396582058,0.6525981267951364,0.7615864582715269,0.33274404077494796,7759,629,538,330
Random Forest,LOPO fastapi,0.26,0.2727272727272727,0.5373134328358209,0.36180904522613067,0.6428577880414656,0.8835847626156283,0.8640256959314775,0.3159949937357637,0.7132933946186024,0.7599029076072923,0.33552465446545654,771,96,31,36
LightGBM,LOPO fastapi,0.07630163903318685,0.18446601941747573,0.5671641791044776,0.2783882783882784,0.5774386533007223,0.8335845847032437,0.7890792291220556,0.23238778799053225,0.6866962764034499,0.7711959234967034,0.290055174690968,699,168,29,38
XGBoost,LOPO fastapi,0.07425589114427567,0.20754716981132076,0.4925373134328358,0.2920353982300885,0.5972966272514633,0.8587623480406493,0.828693790149893,0.23838998289409763,0.6736042968548261,0.7298455817796828,0.28941867173236835,741,126,34,33
Random Forest,LOPO flask,0.26,0.3445378151260504,0.5189873417721519,0.41414141414141414,0.6915460818030411,0.9466681172884928,0.9410269445856635,0.393388338612099,0.738836891225059,0.8531833297575628,0.46635098388580243,1810,78,38,41
LightGBM,LOPO flask,0.07630163903318685,0.16913946587537093,0.7215189873417721,0.27403846153846156,0.5940971159312547,0.8884469409422169,0.8464667005592272,0.29869125189271006,0.7866069512980047,0.8493516680969748,0.4148147096384126,1608,280,22,57
XGBoost,LOPO flask,0.07425589114427567,0.1828793774319066,0.5949367088607594,0.27976190476190477,0.606251158050769,0.906515041731275,0.8769700050838841,0.2817948812467342,0.7418539476507187,0.8179977472645356,0.3884083736720355,1678,210,32,47
Random Forest,LOPO requests,0.26,0.5859375,0.3409090909090909,0.43103448275862066,0.6962939404084365,0.9190964459426035,0.9279738086576937,0.4120333300413721,0.6599760954743161,0.7645089686904633,0.43127115682439193,2476,53,145,75
LightGBM,LOPO requests,0.07630163903318685,0.4489795918367347,0.4,0.4230769230769231,0.6879257106529834,0.9103832772274187,0.9126955256456893,0.3767555901353695,0.6786476868327402,0.7718393903447285,0.41485943418358856,2421,108,132,88
XGBoost,LOPO requests,0.07425589114427567,0.4697986577181208,0.3181818181818182,0.3794037940379404,0.6673778572451351,0.9092593093897015,0.916696980720262,0.34387718237235265,0.6434720874222654,0.7399349365541537,0.37235655942528895,2450,79,150,70
Random Forest,LOPO scrapy,0.26,0.3803986710963455,0.5146067415730337,0.437440305635148,0.6924653609837503,0.9104760165834525,0.9039465101108937,0.39149398978583333,0.7245092789982277,0.8280369381775508,0.44348056572170785,5314,373,216,229
LightGBM,LOPO scrapy,0.07630163903318685,0.2015862524785195,0.6853932584269663,0.3115423901940756,0.5903723982796498,0.8287329498753088,0.7801696020874103,0.28462301518217803,0.7364894901243324,0.7972090891309372,0.40207579892583073,4479,1208,140,305
XGBoost,LOPO scrapy,0.07425589114427567,0.222692633361558,0.5910112359550562,0.3234932349323493,0.6100451698256407,0.8550068858580337,0.8206131767775603,0.2826212595694688,0.7147952258551438,0.7769885190548916,0.3815394982548705,4769,918,182,263
