name,threshold,precision,recall,f1,f0.5,f2,mcc,tp,fp,fn,tn,cost,c_fn,c_fp
default_0.5,0.5,0.5211267605633803,0.16371681415929204,0.24915824915824916,0.3627450980392157,0.18974358974358974,0.2716416138040334,37,34,189,3952,,,
f1_optimal,0.284,0.3071748878923767,0.6061946902654868,0.40773809523809523,0.3407960199004975,0.5074074074074074,0.3871709025788442,137,309,89,3677,,,
f0.5_optimal,0.388,0.3852140077821012,0.43805309734513276,0.4099378881987577,0.39473684210526316,0.4263565891472868,0.37507493818115445,99,158,127,3828,,,
f2_optimal,0.304,0.3245192307692308,0.5973451327433629,0.42056074766355145,0.35714285714285715,0.5113636363636364,0.3979227416811473,135,281,91,3705,,,
high_precision_p>=0.5,0.492,0.5,0.168141592920354,0.25165562913907286,0.3584905660377358,0.19387755102040816,0.268504465966423,38,38,188,3948,,,
high_recall_r>=0.8,0.116,0.15378151260504203,0.8097345132743363,0.2584745762711865,0.18351383874849578,0.4369627507163324,0.2788274605143497,183,1007,43,2979,,,
cost_optimal_1:1,0.58,0.6470588235294118,0.09734513274336283,0.1692307692307692,0.30386740331491713,0.11727078891257996,0.23755828627552553,22,12,204,3974,216.0,1.0,1.0
cost_optimal_5:1,0.312,0.3341708542713568,0.588495575221239,0.4262820512820513,0.3657865786578658,0.510752688172043,0.40213531133112473,133,265,93,3721,730.0,5.0,1.0
cost_optimal_10:1,0.24,0.26559714795008915,0.6592920353982301,0.37865311308767474,0.3016194331983806,0.5085324232081911,0.3686853158934012,149,412,77,3574,1182.0,10.0,1.0
